X,Y
0.1,0.0002716144
0.1023292992,0.0002843654
0.1047128548,0.0002977125
0.1071519305,0.0003116834
0.1096478196,0.0003263071
0.1122018454,0.0003416137
0.1148153621,0.0003576348
0.1174897555,0.0003744036
0.1202264435,0.0003919544
0.1230268771,0.0004103233
0.1258925412,0.0004295482
0.1288249552,0.0004496684
0.1318256739,0.000470725
0.1348962883,0.0004927612
0.1380384265,0.0005158218
0.1412537545,0.0005399539
0.1445439771,0.0005652064
0.1479108388,0.0005916307
0.1513561248,0.0006192802
0.1548816619,0.0006482107
0.1584893192,0.0006784806
0.1621810097,0.0007101509
0.1659586907,0.0007432849
0.1698243652,0.0007779491
0.1737800829,0.0008142127
0.177827941,0.0008521479
0.1819700859,0.00089183
0.1862087137,0.0009333375
0.1905460718,0.0009767524
0.19498446,0.0010221601
0.1995262315,0.0010696497
0.2041737945,0.001119314
0.2089296131,0.0011712497
0.213796209,0.0012255575
0.2187761624,0.0012823426
0.2238721139,0.0013417141
0.2290867653,0.0014037859
0.2344228815,0.0014686766
0.2398832919,0.0015365094
0.2454708916,0.0016074128
0.2511886432,0.0016815202
0.2570395783,0.0017589705
0.2630267992,0.0018399081
0.2691534804,0.0019244831
0.2754228703,0.0020128515
0.2818382931,0.0021051755
0.2884031503,0.0022016233
0.2951209227,0.0023023698
0.301995172,0.0024075966
0.3090295433,0.002517492
0.316227766,0.0026322517
0.3235936569,0.0027520783
0.3311311215,0.0028771822
0.3388441561,0.0030077815
0.3467368505,0.0031441022
0.3548133892,0.0032863786
0.3630780548,0.0034348533
0.3715352291,0.0035897776
0.3801893963,0.0037514119
0.389045145,0.0039200256
0.3981071706,0.0040958975
0.4073802778,0.0042793163
0.4168693835,0.0044705806
0.4265795188,0.0046699992
0.4365158322,0.0048778917
0.4466835922,0.0050945885
0.4570881896,0.0053204312
0.4677351413,0.0055557731
0.4786300923,0.0058009796
0.4897788194,0.0060564284
0.5011872336,0.00632251
0.512861384,0.0065996282
0.5248074602,0.0068882007
0.5370317964,0.0071886594
0.5495408739,0.007501451
0.5623413252,0.007827038
0.5754399373,0.0081658987
0.5888436554,0.0085185284
0.6025595861,0.00888544
0.6165950019,0.0092671651
0.6309573445,0.0096642542
0.645654229,0.0100772784
0.660693448,0.0105068302
0.6760829754,0.0109535245
0.6918309709,0.0114179997
0.7079457844,0.0119009195
0.7244359601,0.0124029738
0.7413102413,0.0129248803
0.758577575,0.0134673863
0.7762471166,0.0140312701
0.7943282347,0.0146173432
0.8128305162,0.0152264518
0.8317637711,0.015859479
0.8511380382,0.0165173473
0.87096359,0.0172010202
0.8912509381,0.0179115054
0.9120108394,0.0186498567
0.9332543008,0.019417177
0.954992586,0.0202146211
0.977237221,0.0210433985
1,0.0219047766
1.0232929923,0.0228000837
1.0471285481,0.0237307126
1.0715193052,0.0246981238
1.0964781961,0.0257038492
1.1220184543,0.0267494958
1.1481536215,0.0278367495
1.1748975549,0.0289673791
1.2022644346,0.0301432403
1.2302687708,0.0313662802
1.2589254118,0.0326385411
1.2882495517,0.0339621655
1.3182567386,0.0353394002
1.3489628826,0.0367726014
1.3803842646,0.0382642392
1.4125375446,0.0398169026
1.4454397707,0.0414333047
1.4791083882,0.0431162876
1.5135612484,0.0448688278
1.5488166189,0.0466940417
1.5848931925,0.0485951908
1.6218100974,0.0505756875
1.6595869074,0.0526391011
1.6982436525,0.054789163
1.7378008287,0.0570297733
1.77827941,0.0593650064
1.8197008586,0.0617991176
1.8620871367,0.0643365489
1.905460718,0.0669819359
1.9498445998,0.069740114
1.995262315,0.072616125
2.0417379447,0.0756152238
2.0892961309,0.0787428854
2.1379620895,0.0820048114
2.187761624,0.0854069371
2.2387211386,0.0889554385
2.2908676528,0.0926567394
2.3442288153,0.0965175181
2.398832919,0.1005447148
2.4547089157,0.1047455387
2.5118864315,0.1091274747
2.5703957828,0.1136982908
2.6302679919,0.1184660449
2.6915348039,0.1234390916
2.7542287033,0.1286260888
2.8183829313,0.1340360049
2.8840315031,0.1396781244
2.9512092267,0.1455620547
3.0199517204,0.1516977318
3.0902954325,0.1580954261
3.1622776602,0.1647657478
3.2359365693,0.1717196516
3.3113112148,0.178968442
3.3884415614,0.1865237765
3.4673685045,0.1943976701
3.5481338923,0.2026024982
3.6307805477,0.211150999
3.715352291,0.220056276
3.8018939632,0.2293317986
3.8904514499,0.2389914035
3.9810717055,0.2490492941
4.073802778,0.2595200401
4.1686938347,0.2704185755
4.265795188,0.2817601964
4.3651583224,0.2935605577
4.4668359215,0.3058356691
4.5708818961,0.3186018896
4.6773514129,0.3318759224
4.7863009232,0.3456748077
4.8977881937,0.3600159148
5.0118723363,0.3749169344
5.1286138399,0.3903958685
5.2480746025,0.4064710209
5.3703179637,0.4231609857
5.4954087386,0.4404846363
5.6234132519,0.4584611125
5.7543993734,0.4771098076
5.8884365536,0.4964503552
6.0255958607,0.5165026147
6.1659500186,0.5372866567
6.3095734448,0.5588227482
6.4565422903,0.581131337
6.6069344801,0.6042330361
6.7608297539,0.6281486075
6.9183097092,0.6528989462
7.0794578438,0.6785050632
7.2443596008,0.7049880694
7.413102413,0.7323691578
7.5857757503,0.7606695866
7.7624711663,0.7899106613
7.9432823472,0.8201137162
8.1283051616,0.8513000961
8.317637711,0.8834911359
8.511380382,0.9167081404
8.7096358996,0.9509723626
8.9125093813,0.9863049797
9.1201083936,1.0227270688
9.332543008,1.0602595793
9.5499258602,1.0989233032
9.7723722096,1.1387388428
10,1.179726575
10.2329299228,1.2219066114
10.4712854805,1.2652987555
10.7151930524,1.3099224537
10.9647819614,1.3557967429
11.220184543,1.4029401912
11.481536215,1.4513708339
11.7489755494,1.5011061027
12.0226443462,1.5521627482
12.3026877081,1.6045567561
12.5892541179,1.6583032557
12.8824955169,1.7134164218
13.1825673856,1.7699093689
13.4896288259,1.8277940387
13.803842646,1.8870810799
14.1253754462,1.9477797219
14.4543977075,2.0098976423
14.7910838817,2.0734408278
15.1356124844,2.1384134309
15.4881661891,2.204817622
15.8489319246,2.2726534384
16.2181009736,2.3419186311
16.5958690744,2.4126085107
16.9824365246,2.4847157944
17.3780082875,2.5582304543
17.7827941004,2.6331395704
18.1970085861,2.7094271884
18.6208713666,2.7870741852
19.0546071796,2.8660581438
19.4984459976,2.9463532391
19.9526231497,3.0279301372
20.4173794467,3.1107559094
20.8929613085,3.1947939636
21.379620895,3.2800039939
21.8776162395,3.3663419514
22.3872113857,3.4537600363
22.9086765277,3.5422067138
23.4422881532,3.6316267543
23.9883291902,3.7219612992
24.5470891569,3.8131479529
25.1188643151,3.9051209009
25.7039578277,3.9978110551
26.302679919,4.091146225
26.9153480393,4.1850513144
27.5422870334,4.2794485439
28.1838293126,4.3742576959
28.8403150313,4.4693963826
29.5120922667,4.5647803336
30.199517204,4.6603237019
30.9029543251,4.7559393855
31.6227766017,4.8515393616
32.359365693,4.947035032
33.1131121483,5.0423375748
33.8844156139,5.1373583002
34.6736850453,5.2320090086
35.4813389234,5.3262023447
36.307805477,5.4198521477
37.1535229097,5.5128737925
38.0189396321,5.6051845202
38.9045144994,5.6967037533
39.8107170554,5.7873533959
40.7380277804,5.877058114
41.686938347,5.9657455947
42.6579518802,6.0533467828
43.651583224,6.1397960935
44.6683592151,6.225031599
45.7088189615,6.3089951892
46.7735141287,6.391632705
47.8630092323,6.4728940458
48.9778819368,6.5527332484
50.1187233627,6.6311085408
51.2861383991,6.7079823693
52.480746025,6.7833214004
53.703179637,6.8570964997
54.9540873858,6.9292826876
56.234132519,6.9998590737
57.5439937337,7.0688087721
58.8843655356,7.1361187987
60.2559586074,7.2017799529
61.6595001862,7.265786684
63.095734448,7.3281369469
64.5654229035,7.3888320455
66.0693448008,7.4478764687
67.6082975392,7.5052777192
69.1830970919,7.5610461363
70.7945784384,7.615194716
72.4435960075,7.6677389286
74.1310241301,7.7186965354
75.8577575029,7.7680874062
77.6247116629,7.8159333388
79.4328234724,7.8622578808
81.2830516164,7.9070861559
83.1763771103,7.9504446944
85.1138038202,7.9923612688
87.0963589956,8.0328647364
89.1250938134,8.0719848872
91.2010839356,8.1097522997
93.3254300797,8.1461982029
95.4992586021,8.1813543467
97.7237220956,8.2152528791
100,8.2479262314
102.3292992281,8.2794070109
104.7128548051,8.3097279011
107.1519305238,8.3389215697
109.6478196143,8.3670205831
112.2018454302,8.3940573291
114.8153621497,8.4200639455
117.489755494,8.4450722557
120.2264434617,8.469113711
123.0268770812,8.4922193384
125.8925411794,8.5144196945
128.8249551693,8.5357448247
131.8256738556,8.5562242279
134.8962882592,8.5758868252
138.0384264603,8.5947609347
141.2537544623,8.6128742485
144.5439770746,8.6302538154
147.9108388168,8.6469260264
151.3561248436,8.6629166034
154.8816618912,8.6782505918
158.4893192461,8.6929523548
162.1810097359,8.7070455714
165.9586907438,8.720553236
169.8243652462,8.7334976604
173.7800828749,8.7459004775
177.8279410039,8.7577826473
181.970085861,8.7691644634
186.2087136663,8.7800655618
190.5460717963,8.7905049304
194.9844599758,8.8005009198
199.5262314969,8.8100712544
204.173794467,8.8192330451
208.9296130854,8.8280028021
213.7962089502,8.8363964482
218.776162395,8.8444293329
223.8721138568,8.8521162464
229.0867652768,8.8594714344
234.422881532,8.8665086123
239.8832919019,8.8732409805
245.4708915685,8.8796812387
251.188643151,8.885841601
257.0395782769,8.8917338108
263.0267991895,8.897369155
269.1534803927,8.902758479
275.4228703338,8.9079122007
281.8382931264,8.9128403251
288.4031503127,8.9175524577
295.1209226666,8.9220578184
301.9951720402,8.9263652552
309.0295432514,8.9304832569
316.2277660168,8.9344199662
323.5936569296,8.9381831924
331.1311214826,8.941780423
338.8441561392,8.9452188364
346.7368504525,8.948505313
354.8133892336,8.9516464466
363.0780547701,8.9546485552
371.5352290972,8.9575176918
380.1893963206,8.9602596547
389.0451449943,8.9628799972
398.1071705535,8.9653840375
407.3802778041,8.9677768679
416.8693834703,8.9700633638
426.5795188016,8.9722481925
436.5158322402,8.9743358214
446.683592151,8.9763305264
457.0881896149,8.9782363994
467.7351412872,8.9800573561
478.6300923226,8.981797143
489.7788193684,8.9834593447
501.1872336273,8.9850473903
512.8613839914,8.9865645601
524.8074602498,8.9880139918
537.0317963702,8.9893986863
549.5408738576,8.9907215137
562.3413251903,8.9919852188
575.4399373372,8.9931924261
588.8436553556,8.9943456454
602.5595860744,8.9954472763
616.5950018615,8.9964996131
630.9573444802,8.9975048491
645.6542290346,8.9984650813
660.6934480076,8.9993823143
676.082975392,9.0002584641
691.8309709189,9.0010953624
707.9457843841,9.0018947598
724.435960075,9.0026583297
741.3102413009,9.0033876712
758.5775750292,9.0040843127
776.2471166287,9.0047497151
794.3282347243,9.0053852741
812.8305161641,9.0059923239
831.7637711027,9.006572139
851.1380382024,9.0071259377
870.9635899561,9.0076548839
891.2509381337,9.0081600897
912.0108393559,9.0086426179
933.254300797,9.0091034837
954.9925860214,9.0095436574
977.2372209558,9.0099640658
1000,9.0103655945
1023.292992281,9.0107490896
1047.128548051,9.0111153593
1071.519305238,9.0114651758
1096.478196143,9.0117992769
1122.018454302,9.0121183674
1148.153621497,9.0124231205
1174.89755494,9.0127141793
1202.264434617,9.0129921584
1230.268770812,9.0132576446
1258.925411794,9.0135111986
1288.249551693,9.013753356
1318.256738556,9.0139846283
1348.962882592,9.0142055043
1380.384264603,9.0144164508
1412.537544623,9.0146179136
1445.439770746,9.0148103186
1479.108388168,9.0149940728
1513.561248436,9.0151695646
1548.816618912,9.0153371652
1584.893192461,9.0154972291
1621.810097359,9.0156500951
1659.586907438,9.0157960864
1698.243652462,9.0159355121
1737.800828749,9.0160686671
1778.279410039,9.0161958333
1819.70085861,9.01631728
1862.087136663,9.016433264
1905.460717963,9.0165440311
1949.844599758,9.0166498157
1995.262314969,9.0167508418
2041.73794467,9.0168473234
2089.296130854,9.0169394648
2137.962089502,9.0170274611
2187.76162395,9.0171114987
2238.721138568,9.0171917556
2290.867652768,9.0172684018
2344.22881532,9.0173415998
2398.832919019,9.0174115045
2454.708915685,9.0174782641
2511.88643151,9.01754202
2570.395782769,9.0176029073
2630.267991895,9.0176610551
2691.534803927,9.0177165865
2754.228703338,9.0177696193
2818.382931264,9.0178202658
2884.031503127,9.0178686334
2951.209226666,9.0179148246
3019.951720402,9.0179589373
3090.295432514,9.0180010649
3162.277660168,9.0180412969
3235.936569296,9.0180797184
3311.311214826,9.0181164109
3388.441561392,9.0181514523
3467.368504525,9.0181849167
3548.133892336,9.0182168751
3630.780547701,9.0182473953
3715.352290972,9.018276542
3801.893963206,9.0183043769
3890.451449943,9.0183309592
3981.071705535,9.0183563451
4073.802778041,9.0183805884
4168.693834703,9.0184037407
4265.795188016,9.0184258509
4365.158322402,9.018446966
4466.83592151,9.0184671306
4570.881896149,9.0184863877
4677.351412872,9.018504778
4786.300923226,9.0185223404
4897.788193684,9.0185391124
5011.872336273,9.0185551293
5128.613839914,9.0185704252
5248.074602498,9.0185850326
5370.317963702,9.0185989823
5495.408738576,9.018612304
5623.413251903,9.018625026
5754.399373371,9.0186371751
5888.436553556,9.0186487772
6025.595860743,9.0186598569
6165.950018615,9.0186704377
6309.573444802,9.018680542
6456.542290346,9.0186901912
6606.934480076,9.0186994058
6760.82975392,9.0187082054
6918.309709189,9.0187166086
7079.457843841,9.0187246332
7244.35960075,9.0187322963
7413.102413009,9.018739614
7585.775750292,9.018746602
7762.471166287,9.0187532751
7943.282347243,9.0187596473
8128.305161641,9.0187657323
8317.637711027,9.0187715428
8511.380382024,9.0187770913
8709.635899561,9.0187823896
8912.509381337,9.0187874487
9120.108393559,9.0187922796
9332.54300797,9.0187968924
9549.925860214,9.0188012968
9772.372209558,9.0188055024
10000,9.0188095179
10232.92992281,9.0188133518
10471.28548051,9.0188170124
10715.19305238,9.0188205074
10964.78196143,9.0188238442
11220.18454302,9.0188270298
11481.53621497,9.0188300711
11748.9755494,9.0188329745
12022.64434617,9.0188357461
12302.68770812,9.0188383918
12589.25411794,9.0188409172
12882.49551693,9.0188433277
13182.56738556,9.0188456284
13489.62882592,9.0188478242
13803.84264603,9.0188499198
14125.37544623,9.0188519195
14454.39770746,9.0188538276
14791.08388168,9.0188556482
15135.61248436,9.0188573851
15488.16618912,9.0188590421
15848.93192461,9.0188606225
16218.10097359,9.0188621299
16595.86907438,9.0188635673
16982.43652462,9.0188649379
17378.00828749,9.0188662445
17782.79410039,9.0188674898
18197.0085861,9.0188686767
18620.87136663,9.0188698075
19054.60717963,9.0188708847
19498.44599758,9.0188719105
19952.62314969,9.0188728871
20417.37944669,9.0188738166
20892.96130854,9.018874701
21379.62089502,9.0188755422
21877.6162395,9.0188763419
22387.21138568,9.0188771017
22908.67652768,9.0188778235
23442.2881532,9.0188785086
23988.32919019,9.0188791585
24547.08915685,9.0188797746
25118.8643151,9.0188803582
25703.95782769,9.0188809105
26302.67991895,9.0188814328
26915.34803927,9.0188819261
27542.28703338,9.0188823914
28183.82931264,9.0188828298
28840.31503127,9.0188832422
29512.09226666,9.0188836295
30199.51720402,9.0188839924
30902.95432514,9.0188843318
31622.77660168,9.0188846484
32359.36569296,9.0188849428
33113.11214826,9.0188852156
33884.41561392,9.0188854675
34673.68504525,9.018885699
35481.33892336,9.0188859106
36307.80547701,9.0188861026
37153.52290972,9.0188862756
38018.93963206,9.0188864299
38904.51449943,9.0188865659
39810.71705535,9.0188866837
40738.02778041,9.0188867837
41686.93834703,9.018886866
42657.95188016,9.0188869309
43651.58322402,9.0188869785
44668.3592151,9.0188870089
45708.81896149,9.0188870221
46773.51412872,9.0188870182
47863.00923226,9.0188869971
48977.88193684,9.0188869589
50118.72336273,9.0188869035
51286.13839914,9.0188868306
52480.74602498,9.0188867402
53703.17963702,9.0188866321
54954.08738576,9.0188865061
56234.13251903,9.0188863618
57543.99373371,9.018886199
58884.36553556,9.0188860174
60255.95860743,9.0188858165
61659.50018615,9.0188855959
63095.73444802,9.0188853551
64565.42290346,9.0188850937
66069.34480076,9.0188848111
67608.2975392,9.0188845067
69183.09709189,9.0188841798
70794.57843841,9.0188838298
72443.5960075,9.0188834558
74131.02413009,9.0188830572
75857.75750292,9.0188826331
77624.71166287,9.0188821825
79432.82347243,9.0188817045
81283.05161641,9.0188811981
83176.37711027,9.0188806623
85113.80382024,9.0188800958
87096.35899561,9.0188794975
89125.09381337,9.0188788661
91201.08393559,9.0188782004
93325.4300797,9.0188774987
95499.25860214,9.0188767598
97723.72209558,9.0188759819
100000,9.0188751636
102329.2992281,9.0188743029
104712.8548051,9.0188733982
107151.9305238,9.0188724474
109647.8196143,9.0188714486
112201.8454302,9.0188703996
114815.3621497,9.0188692982
117489.755494,9.0188681422
120226.4434617,9.0188669289
123026.8770812,9.0188656559
125892.5411794,9.0188643205
128824.9551693,9.0188629198
131825.6738556,9.0188614509
134896.2882592,9.0188599106
138038.4264603,9.0188582956
141253.7544623,9.0188566026
144543.9770746,9.018854828
147910.8388168,9.0188529679
151356.1248436,9.0188510185
154881.6618912,9.0188489756
